&lt;BearMe&gt;<sp/>Fuego,0.892
&lt;TheDOH&gt;<sp/>ZAiN,0.888
&lt;Reymor&gt;<sp/>GOReynor,0.863
Ziggy,0.735
uThermal,0.731
PengWin,0.72
SpeCial,0.715
&lt;ePunks&gt;<sp/>AiLillekanin,0.699
Probe,0.682
Harstem,0.681
Elazer,0.672
&lt;αX&gt;<sp/>Astrea,0.666
HeRoMaRinE,0.659
Cyan,0.654
Trap,0.644
JonSnow,0.631
&lt;ePunks&gt;<sp/>SpaceMarine,0.63
Saiko,0.63
Retribution,0.63
Denver,0.628
&lt;LGCANZ&gt;<sp/>Probe,0.624
&lt;ENCE&gt;<sp/>Serral,0.62
HolyHit,0.612
&lt;sfc&gt;<sp/>Blask,0.599
herO,0.598
souL,0.59
VitamiN,0.586
Caerwyn,0.584
Creature,0.583
PtitDrogo,0.581
&lt;hTx&gt;<sp/>Shrimp,0.581
DnS,0.575
Vindicta,0.575
Cure,0.568
Astrea,0.567
GuMiho,0.566
&lt;Mkers&gt;<sp/>AqueroN,0.563
INnoVation,0.56
LiquidMaNa,0.559
&lt;Photoo&gt;<sp/>ButAlwayssss,0.559
Silky,0.559
&lt;KOVA&gt;<sp/>ZhuGeLiang,0.558
TIME,0.556
TSGNice,0.556
&lt;IxGeu&gt;<sp/>Future,0.556
Bistork,0.556
LiquidTLO,0.554
Serral,0.553
GetMeOut,0.553
Kelazhur,0.552
&lt;butaws&gt;<sp/>llIIllIIIIIl,0.552
DisReSpeCT,0.552
&lt;Mkers&gt;<sp/>ShoWTimE,0.551
PartinG,0.549
ShaDoWn,0.547
&lt;ROOT&gt;<sp/>puCK,0.544
SortOf,0.544
&lt;GUMILO&gt;<sp/>riddle,0.544
&lt;НТТ&gt;<sp/>Nitix,0.543
Clem,0.542
HellraiseR,0.541
Awers,0.537
Parting,0.537
HeroMarine,0.533
Asuna,0.533
riddle,0.529
&lt;9999ms&gt;<sp/>TIME,0.526
Solarian,0.522
MaNa,0.521
Rhizer,0.521
SKillous,0.518
Bly,0.515
TLO,0.513
&lt;SGSC&gt;<sp/>SKillous,0.512
MarineLorD,0.508
tso,0.506
&lt;IxGeu&gt;<sp/>goblin,0.505
soO,0.504
ShoWTimE,0.502
HalfBreed,0.501
tGG,0.501
&lt;IxG&gt;<sp/>EGDisruptor,0.5
Ryu,0.5
HuK,0.5
&lt;PGL&gt;<sp/>Kelazhur,0.499
Bunny,0.498
TaeJa,0.494
Solar,0.492
&lt;watwat&gt;<sp/>Knuf,0.492
RagnaroK,0.491
DisReSpect,0.489
Neeb,0.487
&lt;Stats1&gt;<sp/>llllllllllll,0.484
&lt;Ting&gt;<sp/>Neeb,0.481
Dear,0.478
Rob,0.477
Maru,0.472
Epic,0.469
&lt;ROOT&gt;<sp/>CatZ,0.468
&lt;TlNG&gt;<sp/>Neeblet,0.468
hellraiser,0.467
cyan,0.467
DisK,0.467
Cuddlebear,0.46
Reynor,0.457
BlyOnFire,0.457
Gerald,0.456
GogojOey,0.453
Hjax,0.45
Hellraiser,0.45
Dolan,0.449
Zanster,0.448
Namshar,0.445
HAS,0.436
Stats,0.435
&lt;ICYBR&gt;<sp/>TurkeyDano,0.435
Lambo,0.434
&lt;ASTsc&gt;<sp/>Harstem,0.434
Dark,0.432
&lt;ROOT&gt;<sp/>Rob,0.431
Cham,0.43
starkiller,0.419
BoO,0.416
Classic,0.415
Bioice,0.415
&lt;EZ4NLD&gt;<sp/>thermostaat,0.414
NYK,0.414
Stephano,0.405
ButAlways,0.405
Has,0.405
Zest,0.399
puCK,0.393
&lt;OG&gt;<sp/>SpeCial,0.383
&lt;IxGeu&gt;<sp/>Clem,0.371
&lt;QLASH&gt;<sp/>HellraiseR,0.37
&lt;SubTo&gt;<sp/>LiquidSnute,0.37
Raze,0.37
MaSa,0.365
MarneLorD,0.361
MCanning,0.339
PappiJoe,0.328
&lt;白给TEAM&gt;<sp/>Scarlett,0.25
Scarlett,0.25
&lt;αX&gt;<sp/>MaSa,0.185
ZhuGeLiang,0.139
Future,0.122
KinG,0.119
oliM,0.112
&lt;ROOT&gt;<sp/>NoRegreT,0.112
&lt;αX&gt;<sp/>JusticeSimon,0.1
&lt;Chivo&gt;<sp/>MCanning,0.097
